PRDCT_REF_ID,SRC_ENV_ID,PRDCT_ID,NDC_LBL_NAME,ADMIN_ROUTE,DRG_MANF,DEA_CD,GPI_THRPTC_CLASS_NAME,GPI_NUM_14_DIGIT,PRDCT_QUAL_CD,CREATE_TIMESTAMP,CREATED_BY,UPDATE_TIMESTAMP,UPDATED_BY,PKG_SIZE,UNIT_OF_MEASURE,PRDCT_DESCR,UNIT_OF_MEASURE_QTY,PKG_SIZE_TOTAL_QTY,MULTI_SRC_CD,DRUG_STRENGTH_QTY,DOSAGE_FORM_ID,DRG_UNIT_DOSE_USE_IND,GPI_NAME,DRG_STAT_CD,DRG_RX_OTC_IND
902703,500,68462071171,ESTRADIOL    TAB 10MCG,VA,GLENMARK,0,Vaginal Estrogens,5.535E+13,03,19:55.7,System,41:31.0,System,8,EA,BOX,1,8,Y,10,TABS,U,ESTRADIOL VAGINAL TAB 10 MCG,A,S
68940,500,00093317431,ALBUTEROL    AER HFA,IN,TEVA USA,0,Inhaled Bronchodilator,4.4201E+13,03,19:55.7,System,08:09.3,System,8.5,GM,INHALER,1,8.5,Y,108,AERS,U,ALBUTEROL SULFATE INHAL AERO 108 MCG/ACT (90MCG BASE EQUIV),A,S
1234490,500,70748012513,VARENICLINE  TAB 0.5& 1MG,OR,LUPIN PHAR,0,Smoking Deterrents,6210008020B720,03,15:30.1,System,05:11.1,System,53,EA,BOX,1,53,Y,0,TBPK,U,VARENICLINE TARTRATE TAB 11 X 0.5 MG & 42 X 1 MG START PACK,A,S
1194934,500,66993007996,FLUTICAS HFA AER 110MCG,IN,PRASCO LAB,0,Inhaled Steroids,4.44E+13,03,17:56.7,System,07:29.0,System,12,GM,INHALER,1,12,N,110,AERO,U,FLUTICASONE PROPIONATE HFA INHAL AER 110 MCG/ACT,A,R
16557,500,00002143480,TRULICITY    INJ 1.5/0.5,SC,LILLY,0,GLP-1 Receptor Agonists,2717001500D530,03,19:55.7,System,09:05.6,System,0.5,ML,PEN,4,2,N,1.5,SOAJ,X,DULAGLUTIDE SOLN AUTO-INJECTOR 1.5 MG/0.5ML,A,R
1058017,500,72065012112,GVOKE HYPO 2 INJ 1/0.2ML,SC,XERIS PHAR,0,Glucose,2730001000D530,03,06:36.7,System,06:00.8,System,0.2,ML,SYRINGE,2,0.4,N,1,SOAJ,X,GLUCAGON SUBCUTANEOUS SOLUTION AUTO-INJECTOR 1 MG/0.2ML,A,R
94258,500,00186037020,SYMBICORT    AER 160-4.5,IN,ASTZEN LP,0,Inhaled Asthma/COPD Combo,4.42099E+13,03,19:55.7,System,06:32.9,System,10.2,GM,INHALER,1,10.2,O,0,AERO,U,BUDESONIDE-FORMOTEROL FUMARATE DIHYD AEROSOL 160-4.5 MCG/ACT,A,S
1251147,500,83017012203,EMBECTA NANO MIS 32GX4MM,XX,EMBECTA ME,0,Needles & Syringes,9.70511E+13,03,06:00.7,System,06:51.5,System,100,EA,BOX,1,100,N,0,MISC,U,"INSULIN PEN NEEDLE 32 G X 4 MM (1/6"" OR 5/32"")",A,O
571349,500,45802005536,TRIAMCINOLON OIN 0.1%,EX,PADAGIS,0,Corticosteroids - Topical,9.05501E+13,03,19:55.7,System,06:03.5,System,80,GM,TUBE,1,80,Y,0.1,OINT,U,TRIAMCINOLONE ACETONIDE OINT 0.1%,A,S
698782,500,54436025004,XYOSTED      INJ 50/0.5ML,SC,ANTARES PH,3,Androgens,2310003020D520,03,19:55.7,System,06:03.5,System,0.5,ML,PEN,4,2,N,50,SOAJ,X,TESTOSTERONE ENANTHATE SOLUTION AUTO-INJECTOR 50 MG/0.5ML,A,R
34865,500,00024587102,TOUJEO MAX   INJ 300/ML,SC,SANOFI PHA,0,Insulin,2710400300D236,03,19:55.7,System,08:37.7,System,3,ML,PEN,2,6,N,300,SOPN,U,INSULIN GLARGINE SOLN PEN-INJECTOR 300 UNIT/ML (2 UNIT DIAL),A,R
